State,City,n_obs,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI,Max_AQI
Kentucky,Louisville,974,23.27310061601643,38.59753593429158,17.83778234086242,5.3580246913580245,43.97535934291581
Pennsylvania,Altoona,1896,20.690928270042193,41.86867088607595,18.28902953586498,2.3810026385224274,43.9746835443038
New Jersey,Camden,4291,29.69867163831275,36.33954789093451,13.409927755767887,6.266386750641474,43.932882777907245
Illinois,Cicero,2702,37.599925980754996,32.33641746854182,16.907475943745375,7.877498149518875,43.86084381939304
New Mexico,Albuquerque,1787,24.462786793508673,41.33240067151651,1.179071068830442,3.4798432250839864,43.76440962506995
Texas,El Paso,9231,29.108005633192505,39.79709673924818,2.4908460621817787,5.9284862932061975,43.56581085472863
California,Arden-Arcade,4958,20.50766438079871,40.59318273497378,2.654901169826543,7.317063331988705,43.12989108511496
Pennsylvania,Charleroi,3997,19.782837127845884,40.48311233425069,17.585939454590942,3.230673004753565,43.107080310232675
New York,Holtsville,3596,24.984983314794217,38.293103448275865,16.04393770856507,3.234705228031146,43.0385150166852
New Jersey,Newark,2372,35.284991568296796,30.195193929173694,7.026138279932546,6.755902192242833,42.953625632377744
Virginia,McLean,1402,28.704707560627675,36.62696148359486,17.60342368045649,8.53922967189729,42.94079885877318
Nevada,Boulder City,606,12.344884488448844,42.43399339933993,1.3201320132013201,0.8960396039603961,42.92739273927393
Kentucky,Lexington-Fayette (corporate name for Lexington),789,25.722433460076047,40.35614702154626,15.392902408111533,2.026615969581749,42.91634980988593
Oklahoma,Park Hill,1718,15.172293364377182,42.160651920838184,3.2939464493597206,0.6874272409778812,42.731664726426075
Virginia,Hampton,1181,7.542760372565622,42.34292972057578,4.641828958509738,3.5495342929720577,42.53175275190517
Colorado,Not in a city,1189,18.884777123633306,38.227922624053825,2.537426408746846,4.1265822784810124,42.50883095037847
California,Chula Vista,3639,29.539708711184392,37.59879087661445,6.713107996702391,10.6199505358615,42.50233580654026
Virginia,Annandale,1011,25.2106824925816,38.14144411473789,13.986152324431256,5.92970297029703,42.37091988130564
Pennsylvania,Scranton,1821,24.7001647446458,41.17298187808896,9.644700713893466,3.554640307523339,42.33168588687534
Michigan,Grand Rapids,881,27.498297389330308,40.340522133938705,6.177071509648127,5.681044267877412,42.29511918274688
Pennsylvania,Johnstown,3898,18.31836839404823,38.08491534120061,17.735505387378144,4.519753719856337,42.22011287839918
California,San Diego,7475,35.677859531772576,31.629832775919734,8.654581939799332,13.09142015794405,42.16401337792642
California,Costa Mesa,5404,25.11880088823094,36.48612139156181,2.921724648408586,6.905810510732791,41.840118430792
New York,New York,11351,35.873227028455645,28.910228173729188,15.254911461545237,7.162290748898679,41.81895868205444
Wyoming,Not in a city,2915,10.300857632933104,41.473413379073754,1.9725557461406518,1.6641483516483517,41.75643224699829
District Of Columbia,Washington,6433,30.593346805533965,33.778796828851235,12.884346339188559,11.602394650909657,41.729519664231304
California,Long Beach,6277,36.98375019913971,28.435239764218576,7.756093675322607,9.865700175242951,41.72311613828262
Country Of Mexico,Tijuana,857,38.56126021003501,26.182030338389733,5.319719953325555,17.114485981308412,41.52158693115519
California,Capitan,5891,4.842641317263623,41.28908504498387,2.401290103547785,2.467832286538788,41.402817857749106
Texas,Dallas,5187,27.086948139579718,37.07538075959128,2.473684210526316,5.146882841150357,41.27318295739348
Connecticut,East Hartford,1594,15.159974905897114,41.075282308657464,1.013801756587202,4.040777917189461,41.2107904642409
Arizona,Tucson,5814,27.821981424148607,38.38200894392845,2.914516683866529,5.318025455796354,40.9766081871345
Illinois,East Saint Louis,5174,25.08948589099343,33.12794742945497,15.63857750289911,6.7751788130678525,40.757634325473525
Maryland,Essex,3296,24.650485436893202,36.581917475728154,9.685983009708737,5.543082524271845,40.74120145631068
Pennsylvania,Wilkes-Barre,561,20.816399286987522,40.16221033868093,11.420677361853832,3.140819964349376,40.67557932263814
California,El Cajon,1627,20.490473263675476,38.64904732636755,0.011063306699446834,5.156115550092194,40.63429625076829
